price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9800000,13200,3,1,2,yes,no,yes,no,yes,1,yes,furnished
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,furnished
8960000,8500,3,3,2,yes,no,no,no,yes,2,no,furnished
8890000,4600,3,2,2,yes,yes,no,no,yes,1,no,furnished
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8820000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8645000,4500,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000,6000,3,2,4,yes,no,yes,no,yes,0,yes,semi-furnished
8400000,8875,3,1,1,yes,no,no,no,no,1,no,unfurnished
8400000,7950,5,2,2,yes,no,no,no,yes,2,no,unfurnished
8295000,5500,4,2,2,yes,no,no,no,yes,1,yes,furnished
8190000,7440,3,2,1,yes,no,yes,no,yes,1,yes,unfurnished
8120000,4800,3,1,2,yes,no,yes,no,yes,2,no,furnished
8080940,7000,3,2,2,yes,no,no,no,yes,2,yes,semi-furnished
8050000,4500,5,2,2,yes,no,no,no,yes,1,no,furnished
8043000,6840,5,1,2,yes,no,yes,no,yes,1,no,furnished
8015000,7000,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
7980000,7500,3,2,2,yes,no,yes,no,yes,2,yes,furnished
7962500,9000,3,2,2,yes,no,no,no,yes,2,yes,furnished
7910000,6000,3,1,2,yes,yes,yes,no,yes,2,yes,semi-furnished
7875000,7000,3,1,2,yes,yes,yes,no,yes,2,no,semi-furnished
7840000,7420,3,2,2,yes,no,no,no,yes,1,yes,furnished
7700000,13200,4,2,2,yes,no,no,no,yes,1,yes,unfurnished
7700000,6000,3,2,2,yes,no,yes,no,yes,2,yes,semi-furnished
7560000,6000,3,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
7560000,8880,3,2,2,yes,no,no,no,yes,1,no,furnished
7525000,6000,3,2,2,yes,yes,no,no,yes,1,yes,furnished
7490000,5000,3,2,4,yes,no,no,no,yes,1,yes,unfurnished
7455000,6360,3,2,4,yes,no,no,no,yes,1,no,furnished
7420000,6000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
7420000,6000,3,2,4,yes,yes,no,no,yes,0,no,unfurnished
7350000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
7350000,6360,3,1,2,yes,yes,yes,no,yes,1,yes,semi-furnished
7245000,6000,3,2,2,yes,no,no,no,yes,2,no,semi-furnished
7210000,6600,3,2,1,yes,yes,yes,no,yes,1,yes,semi-furnished
7140000,9000,3,2,1,yes,no,yes,no,yes,2,no,furnished
7070000,7000,3,2,1,yes,no,no,no,yes,2,yes,unfurnished
7070000,6000,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
7035000,3000,4,1,2,yes,no,yes,no,yes,0,yes,unfurnished
7000000,9000,3,2,2,yes,no,no,no,yes,1,no,furnished
7000000,4040,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
7000000,5050,4,2,2,yes,no,no,no,yes,1,no,semi-furnished
6930000,6000,4,2,2,yes,no,no,no,yes,2,no,semi-furnished
6895000,8150,3,2,1,yes,no,no,no,yes,1,no,furnished
6860000,10500,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
6825000,6000,3,1,2,yes,no,no,no,yes,1,yes,semi-furnished
6804000,4800,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
6790000,6000,3,2,2,yes,yes,yes,no,yes,1,yes,furnished
6755000,6000,2,2,4,yes,yes,no,no,yes,1,yes,unfurnished
6720000,7770,3,2,2,yes,yes,yes,no,yes,1,yes,furnished
6720000,12900,4,1,1,yes,no,no,no,no,2,no,furnished
6650000,6000,4,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6650000,5150,3,2,2,yes,no,yes,no,yes,2,yes,furnished
6650000,8000,3,2,2,yes,no,no,no,yes,0,yes,semi-furnished
6650000,7420,4,2,2,yes,no,yes,no,yes,1,yes,furnished
6629000,8000,3,2,2,yes,no,yes,no,yes,2,yes,furnished
6615000,4000,3,1,2,yes,yes,yes,no,yes,1,yes,semi-furnished
6580000,8100,5,2,2,yes,no,no,no,yes,0,no,semi-furnished
6510000,6000,3,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
6510000,6600,3,2,2,yes,no,yes,no,yes,1,no,furnished
6475000,6500,3,2,2,yes,no,no,no,yes,2,yes,semi-furnished
6440000,8100,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
6440000,8000,3,2,2,yes,no,yes,no,yes,0,yes,furnished
6419000,4500,4,2,2,yes,no,no,no,yes,1,no,semi-furnished
6405000,4510,4,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6370000,6800,4,1,1,yes,no,no,no,yes,1,no,semi-furnished
6300000,7200,3,2,2,yes,no,no,no,yes,2,yes,unfurnished
6300000,6000,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
6300000,5880,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
6300000,6360,4,2,3,yes,no,no,no,yes,1,no,furnished
6293000,6000,3,1,2,yes,no,no,no,yes,1,yes,furnished
6265000,4000,3,2,2,yes,no,yes,no,yes,1,no,furnished
6230000,6000,3,1,2,yes,no,no,no,yes,2,yes,semi-furnished
6230000,8250,3,2,1,yes,no,yes,no,yes,0,no,semi-furnished
6195000,4000,3,1,2,yes,no,yes,no,yes,1,no,unfurnished
6160000,7500,3,2,2,yes,no,no,no,yes,2,yes,unfurnished
6160000,5800,3,2,2,yes,no,no,no,yes,1,yes,unfurnished
6125000,10360,3,1,1,yes,no,no,no,no,1,no,unfurnished
6125000,6000,3,1,3,yes,no,no,no,no,0,no,unfurnished
6090000,6000,3,1,2,yes,yes,no,no,yes,1,no,furnished
6083000,7000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
6055000,5500,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
6020000,4800,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
5950000,5000,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
5950000,6240,3,2,2,yes,no,no,no,yes,0,no,semi-furnished
5950000,6000,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
5950000,6000,3,2,2,yes,no,yes,no,yes,1,yes,furnished
5950000,6000,3,2,2,yes,yes,yes,no,yes,0,no,semi-furnished
5950000,5050,3,2,1,yes,no,yes,no,yes,2,yes,unfurnished
5943000,6000,3,2,2,yes,no,yes,no,yes,2,no,semi-furnished
5880000,6000,3,1,2,yes,no,yes,yes,no,1,no,semi-furnished
5880000,8400,3,1,1,yes,no,no,no,no,1,no,semi-furnished
5873000,4160,3,1,2,yes,no,no,no,yes,0,no,unfurnished
5810000,6000,4,2,2,yes,yes,no,no,yes,1,no,semi-furnished
5810000,6000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
5775000,6000,3,2,2,yes,no,no,no,no,1,yes,semi-furnished
5740000,7000,4,2,2,yes,no,no,no,no,2,no,semi-furnished
5740000,3180,3,1,2,yes,no,yes,yes,no,1,no,unfurnished
5740000,3500,3,1,2,yes,yes,no,no,no,1,no,semi-furnished
5705000,4500,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
5670000,3600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
5652500,5800,4,2,2,yes,no,no,no,no,2,no,semi-furnished
5600000,8100,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000,5200,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000,7200,4,1,2,yes,no,no,no,no,1,yes,semi-furnished
5600000,4000,3,2,2,yes,no,no,no,no,1,yes,semi-furnished
5600000,6060,3,1,2,yes,no,no,no,no,1,no,semi-furnished
5600000,4788,3,1,2,yes,yes,no,no,yes,1,no,furnished
5600000,10500,4,2,1,yes,no,no,no,yes,2,yes,furnished
5593000,4800,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
5565000,3460,3,2,2,yes,no,no,no,no,1,no,semi-furnished
5530000,5200,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
5530000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
5530000,12800,3,1,1,yes,no,no,no,no,2,no,semi-furnished
5495000,6000,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
5495000,4000,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5460000,6000,4,1,2,yes,no,yes,no,no,0,no,semi-furnished
5460000,6000,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5425000,9150,3,2,2,yes,no,no,no,yes,2,yes,unfurnished
5390000,5800,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5383000,3000,3,2,2,yes,no,no,no,yes,0,yes,semi-furnished
5355000,4280,3,1,2,yes,no,yes,no,yes,1,no,furnished
5320000,6000,4,2,2,yes,no,no,no,yes,1,yes,unfurnished
5320000,6000,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
5285000,7000,3,1,2,yes,no,no,no,yes,2,yes,furnished
5250000,6000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
5250000,4000,4,1,2,yes,no,yes,no,no,1,no,semi-furnished
5250000,6000,3,2,2,yes,no,no,no,no,1,no,semi-furnished
5250000,9000,3,1,1,yes,no,no,no,yes,1,no,unfurnished
5215000,5500,3,2,2,yes,no,no,no,yes,1,no,unfurnished
5145000,5800,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
5110000,6000,4,2,2,yes,no,yes,no,no,1,no,furnished
5075000,3630,4,2,2,yes,no,no,no,no,2,no,furnished
5040000,5400,4,2,2,yes,no,no,no,yes,0,yes,semi-furnished
5040000,6000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
5040000,3000,3,1,2,yes,no,no,no,yes,0,no,furnished
5005000,6000,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4970000,4000,3,1,2,yes,no,yes,no,no,1,no,unfurnished
4970000,4000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
4935000,4800,3,1,2,yes,no,no,no,yes,0,no,furnished
4900000,5600,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4900000,6000,3,2,2,yes,no,no,no,yes,0,no,semi-furnished
4900000,6000,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4900000,6000,4,1,2,yes,no,no,no,yes,1,no,semi-furnished
4900000,4000,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4900000,4000,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4900000,5800,3,1,1,yes,no,no,no,no,1,no,furnished
4900000,8000,4,2,2,yes,no,no,no,yes,1,no,furnished
4900000,4500,4,1,2,yes,no,no,no,yes,1,no,semi-furnished
4900000,5500,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
4893000,6000,4,1,2,yes,no,no,no,yes,1,no,semi-furnished
4865000,6000,3,1,2,yes,no,no,no,yes,2,no,semi-furnished
4830000,7500,3,1,2,yes,no,yes,no,no,1,yes,semi-furnished
4830000,5150,3,1,2,yes,yes,no,no,yes,1,no,unfurnished
4830000,6000,4,1,2,yes,no,no,no,no,1,no,semi-furnished
4795000,8000,3,1,1,yes,no,yes,no,no,1,no,semi-furnished
4795000,5000,4,2,2,yes,no,no,no,yes,1,no,semi-furnished
4767000,6000,4,2,2,yes,no,no,no,yes,1,no,semi-furnished
4760000,6900,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4760000,6000,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4725000,3800,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4704000,6600,3,1,1,yes,no,no,no,no,1,no,unfurnished
4690000,6000,3,1,2,yes,no,no,no,yes,0,no,furnished
4690000,6000,3,2,2,yes,no,no,no,yes,1,no,unfurnished
4655000,3500,3,1,2,yes,no,no,no,yes,0,yes,semi-furnished
4620000,4500,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4620000,7420,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4620000,3630,3,2,2,yes,no,no,no,yes,0,yes,semi-furnished
4620000,4950,4,1,2,yes,no,no,no,yes,0,yes,semi-furnished
4620000,6000,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
4585000,5000,3,2,2,yes,no,yes,no,no,1,no,semi-furnished
4550000,4000,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4550000,6000,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
4550000,3760,2,1,1,yes,no,no,no,no,0,no,semi-furnished
4550000,4800,2,1,1,yes,no,yes,no,no,1,yes,unfurnished
4550000,4075,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4543000,3900,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4515000,4000,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4515000,4400,3,1,2,yes,no,no,no,yes,1,no,unfurnished
4515000,4800,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
4515000,6000,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
4480000,4200,2,1,1,yes,no,no,no,no,1,no,unfurnished
4480000,4000,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4480000,5000,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
4473000,4000,3,2,2,yes,no,yes,no,no,1,yes,unfurnished
4473000,3510,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
4445000,4800,2,1,2,yes,no,no,no,no,0,yes,unfurnished
4410000,6600,3,1,2,yes,no,no,no,yes,1,yes,semi-furnished
4410000,4700,4,1,2,yes,no,no,no,no,0,yes,semi-furnished
4410000,6000,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
4410000,4800,3,1,2,yes,no,no,no,yes,1,yes,semi-furnished
4410000,6000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4403000,3960,3,1,2,yes,no,no,no,yes,0,no,furnished
4375000,4260,4,1,2,yes,no,no,no,yes,1,yes,furnished
4375000,4100,3,1,2,yes,no,yes,no,yes,0,no,furnished
4375000,5800,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
4375000,6000,3,1,1,yes,no,no,no,yes,0,no,unfurnished
4340000,3000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4340000,5830,3,2,2,yes,no,no,no,no,0,yes,furnished
4340000,4960,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4319000,4000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4305000,4520,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4305000,4000,3,1,2,yes,no,no,no,yes,0,no,furnished
4305000,5800,3,1,2,yes,no,no,no,yes,0,no,furnished
4270000,4000,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
4270000,6000,3,1,2,yes,no,no,no,no,0,no,furnished
4270000,6000,2,1,1,yes,no,no,no,yes,0,no,unfurnished
4235000,3240,3,1,2,yes,no,yes,no,yes,1,no,semi-furnished
4200000,4500,3,1,1,yes,no,no,no,yes,0,no,semi-furnished
4200000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
4200000,4350,3,1,1,no,no,no,no,no,0,no,unfurnished
4200000,4500,3,1,1,yes,no,no,no,yes,0,no,unfurnished
4200000,3240,2,1,1,yes,no,no,no,no,1,no,semi-furnished
4200000,4775,3,1,2,yes,no,no,no,yes,1,no,unfurnished
4200000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4200000,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4193000,3185,2,1,1,yes,no,yes,yes,no,0,no,semi-furnished
4165000,3450,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4130000,4000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
4130000,4600,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4123000,4000,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4102000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4098500,4400,3,1,2,yes,no,no,no,no,1,no,unfurnished
4095000,6000,3,1,2,yes,no,no,no,no,0,no,unfurnished
4095000,5450,3,1,1,yes,no,no,no,yes,0,no,unfurnished
4060000,4100,2,1,1,yes,no,no,no,yes,0,no,unfurnished
4060000,5200,3,1,1,yes,no,no,no,yes,0,no,unfurnished
4060000,3990,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4060000,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
4046000,3000,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4025000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
4025000,4000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
4007500,3480,3,1,1,no,no,no,no,no,0,no,semi-furnished
4007500,4000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
3990000,3600,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3990000,4000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
3990000,3120,3,1,1,no,no,no,no,no,0,no,unfurnished
3990000,3090,3,1,1,yes,no,no,no,no,0,no,unfurnished
3920000,4040,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3920000,3640,3,1,2,yes,no,no,no,no,0,no,furnished
3920000,4500,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3920000,4000,3,1,2,yes,no,no,no,no,0,no,unfurnished
3920000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3920000,3630,3,1,2,yes,no,no,no,no,0,no,unfurnished
3885000,5200,3,1,2,yes,no,no,no,no,0,no,unfurnished
3850000,4000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3850000,4500,2,1,1,yes,no,no,no,no,0,no,unfurnished
3850000,3000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3850000,4000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3850000,3570,3,1,2,yes,no,no,no,no,0,no,unfurnished
3850000,4000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3850000,3000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3850000,2700,3,1,2,yes,no,no,no,no,0,no,unfurnished
3815000,4000,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3780000,4000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3780000,4040,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3780000,3150,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3773000,4000,3,2,2,yes,no,no,no,no,0,no,semi-furnished
3745000,3500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3710000,3000,3,1,2,no,no,yes,no,no,0,no,semi-furnished
3710000,3500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3710000,4000,3,1,1,yes,no,no,no,no,0,no,unfurnished
3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished
3675000,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
3675000,3000,3,1,1,no,no,no,no,no,0,no,semi-furnished
3640000,2500,2,1,1,yes,no,no,no,no,0,no,unfurnished
3640000,6000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3640000,4000,3,1,2,yes,no,no,no,no,0,no,unfurnished
3640000,3000,3,1,2,yes,no,no,no,no,0,no,unfurnished
3640000,3500,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3633000,3960,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3605000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3570000,3600,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3570000,2835,3,1,2,no,no,no,no,no,0,no,semi-furnished
3570000,3640,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3570000,3800,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3570000,3000,3,1,1,yes,no,no,no,no,0,no,furnished
3500000,3420,4,1,2,no,no,no,no,no,0,no,semi-furnished
3500000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,4200,3,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,2145,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
3500000,3000,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3500000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,3500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3500000,3500,2,1,1,no,no,no,no,no,0,no,semi-furnished
3500000,4400,3,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,3000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3500000,3600,3,1,1,no,no,no,no,no,0,no,semi-furnished
3500000,3500,3,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,4040,3,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,3000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,2684,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3500000,3630,2,1,1,yes,no,no,no,no,0,no,furnished
3493000,2910,2,1,1,yes,no,no,no,no,0,no,unfurnished
3465000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3465000,3600,2,1,1,yes,no,no,no,no,0,no,furnished
3430000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3430000,4000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3430000,2275,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3430000,4800,3,1,2,no,no,no,no,no,0,no,semi-furnished
3430000,3600,3,1,1,yes,no,no,no,no,0,no,unfurnished
3430000,3600,3,1,1,no,no,no,no,no,0,no,unfurnished
3395000,3180,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3360000,3450,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3360000,3600,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3360000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3360000,3500,3,1,1,yes,no,no,no,no,0,no,unfurnished
3360000,2400,3,1,1,yes,no,no,no,no,0,no,unfurnished
